USAF,STATION NAME,CTRY,STATE,LAT,LON
13471,SOGNDAL/HAUKASEN,NO,,+61.167,+007.133
13500,FINSEVATN,NO,,+60.600,+007.533
13510,FINSE III,NO,,+60.600,+007.500
13520,SANDHAUG,NO,,+60.183,+007.483
13550,LAERDAL IV,NO,,+61.100,+007.500
13560,FANNARAKI,FO,,+61.517,+007.900
13570,HOLLEKOLTEN,NO,,+60.867,+008.517
13571,FORTUN,NO,,+61.500,+007.700
13580,HEMSEDAL II,NO,,+60.850,+008.600
13590,GEILO-OLDEBRATEN,NO,,+60.533,+008.200
13591,HAUGASTOL,NO,,+60.517,+007.867
13600,BRATA-SLETTOM,NO,,+61.900,+007.900
13610,GROTLI III,NO,,+62.017,+007.667
13611,FANNARAKEN MOUNTAIN,NO,,+61.517,+007.917
13620,JUVVASSHOE,NO,,+61.667,+008.367
13621,BJOBERG,NO,,+60.933,+008.200
13631,VARDEN-FILLEFJELL,NO,,+61.183,+008.150
13640,FILEFJELL,NO,,+61.183,+008.117
13641,GEILO-GEILOSTOLEN,NO,,+60.517,+008.217
13650,BEITOSTOLEN II,NO,,+65.250,+008.917
13651,ELVESETER,NO,,+61.700,+008.283
13652,TYNKRYSSET,NO,,+58.267,+007.333
13660,SOGNEFJELL,NO,,+61.567,+008.000
13670,FAGERNES,NO,,+60.983,+009.233
13671,BEITOSTOLEN,NO,,+61.233,+008.933
13680,LEIRIN,NO,,+61.016,+009.288
13690,ABJORSBRATEN,NO,,+60.917,+009.283
13691,HEDAL,NO,,+60.617,+009.733
13700,SKABU,NO,,+61.517,+009.400
13710,LOKEN I VOLBU,NO,,+61.117,+009.067
13720,NESBYEN-SKOGLUND,NO,,+60.567,+009.133
13730,NESBYEN-TODOKK,NO,,+60.567,+009.133
13740,VEST-TORPA II,NO,,+60.933,+010.033
13743,FAGERNES/LEIRIN   &,NO,,+61.000,+009.300
13750,KVITFJELL,NO,,+61.467,+010.133
13751,VINSTRA/SOLSTAD,NO,,+61.583,+009.783
13755,GULLFAX (PLATFORM),NO,,+61.033,+002.033
13760,GULSVIK II,NO,,+60.383,+009.600
13761,FLUBERG,NO,,+60.783,+010.200
13771,EGGEMOEN (NOR-AFB),NO,,+60.217,+010.317
13780,LILLEHAMMER-SAETHERENGEN,NO,,+61.100,+010.467
13790,SOR-NESSET,NO,,+61.883,+010.150
13800,VENABU,NO,,+61.650,+010.117
13801,KITTILBU,NO,,+61.167,+009.967
13810,APELSVOLL,NO,,+60.700,+010.867
13820,KISE,NO,,+60.767,+010.800
13821,KISE PA HEDMARK,NO,,+60.767,+010.817
13830,EVENSTAD-OVERENGET,NO,,+61.400,+011.150
13839,HAMAR / STAFSBERG,NO,,+60.817,+011.067
13840,GARDERMOEN,NO,,+60.194,+011.100
13850,HAMER,NO,,+60.817,+011.067
13860,HAMAR II,NO,,+60.800,+011.100
13870,FAVANG,NO,,+61.450,+010.183
13890,RENA AP,NO,,+61.183,+011.367
13910,FLISA,NO,,+60.617,+012.017
13920,FLISA II,NO,,+60.617,+012.017
13930,DREVSJO,NO,,+61.883,+012.033
13970,TRYSIL VEGSTASJON,NO,,+61.300,+012.267
14000,EKOFISK,NO,,+56.900,+003.350
14010,FRIGG,NO,,+59.983,+002.250
14030,UTSIRA FYR,NO,,+59.300,+004.867
14033,EKOFISK OIL PLTFRM,NO,,+56.550,+003.250
14035,KARMOY,NO,,+59.350,+005.217
14060,SLATTEROY FYR,NO,,+59.917,+005.067
14080,KARMOY,NO,,+59.345,+005.208
14090,SKUDENES,NO,,+59.150,+005.250
14110,KVITSOY - NORDBO,NO,,+59.067,+005.417
14111,FEISTEIN,NO,,+58.833,+005.517
14120,OBRESTAD,NO,,+58.650,+005.567
14130,SAERHEIM,NO,,+58.750,+005.650
14140,ROVER,NO,,+59.433,+005.067
14141,ALFJORDEN,NO,,+59.583,+005.500
14150,SOLA,NO,,+58.877,+005.638
14160,STAVANGER VAALAND,NO,,+58.950,+005.733
14170,NEDRE VATS,NO,,+59.483,+005.750
14180,AUSTEVOLL,NO,,+60.017,+005.200
14190,LIARVATN,NO,,+59.050,+006.117
14211,INDRE MATRE,NO,,+59.850,+006.000
14220,FISTER SIGMUNDSTAD,NO,,+59.167,+006.033
